2014PN330041,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-06-24 14:20,WATER,DISCRETE SAMPLE,1,,31,,0.48,,,,,,
2014PN330092,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-07-22 14:05,WATER,TRIPLICATE SAMPLE,0.8,,11.6,,0.73,,,,,,
2014PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-07-22 14:10,WATER,TRIPLICATE SAMPLE,0.8,,11,,0.74,,,,,,
2014PN330094,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-07-22 14:15,WATER,TRIPLICATE SAMPLE,0.8,,10.3,,0.69,,,,,,
2014PN330116,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-08-17 12:45,WATER,DISCRETE SAMPLE,0.25,,4.6,,0.35,,,,,,
2014PN330152,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2014-09-15 12:37,WATER,DISCRETE SAMPLE,0.8,,3.05,,0.24,,,,,,
2014PN330193,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-02-15 13:35,WATER,DISCRETE SAMPLE,0.24,,1.47,,0.08,,,,,,
2015PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-06-02 13:25,WATER,DISCRETE SAMPLE,0.45,,8.68,,0.23,,,,,,
2015PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-07-29 12:38,WATER,DISCRETE SAMPLE,0.3,,5.75,,0.32,,,,,,
2015PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-08-25 12:25,WATER,DISCRETE SAMPLE,0.5,,3.5,,0.23,,,,,,
2015PN330107,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-09-21 11:35,WATER,TRIPLICATE SAMPLE,0.5,,9.42,,0.41,,,,,,
2015PN330108,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-09-21 11:40,WATER,TRIPLICATE SAMPLE,0.5,,9.58,,0.42,,,,,,
2015PN330109,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2015-09-21 11:45,WATER,TRIPLICATE SAMPLE,0.5,,9.41,,0.42,,,,,,
2016PN330014,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-05-31 12:10,WATER,TRIPLICATE SAMPLE,1.2,,18.3,,0.39,,,,,,
2016PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-05-31 12:20,WATER,TRIPLICATE SAMPLE,1.2,,19,,0.41,,,,,,
2016PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-05-31 12:25,WATER,TRIPLICATE SAMPLE,1.2,,20.9,,0.44,,,,,,
2016PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-06-25 11:40,WATER,DISCRETE SAMPLE,0.9,,20.3,,0.8,,,,,,
2016PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-07-24 12:45,WATER,DISCRETE SAMPLE,0.9,,22.7,,1.34,,,,,,
2016PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2016-08-21 14:45,WATER,DISCRETE SAMPLE,0.3,,14.2,,1.03,,,,,,
2017PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-05-29 12:50,WATER,DISCRETE SAMPLE,1,,10.9,,0.37,,,,,,
2017PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-06-27 11:55,WATER,TRIPLICATE SAMPLE,0.9,,19.3,,0.49,,,,,,
2017PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-06-27 12:00,WATER,TRIPLICATE SAMPLE,0.9,,18.1,,0.48,,,,,,
2017PN330023,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-06-27 12:05,WATER,TRIPLICATE SAMPLE,0.9,,19.4,,0.49,,,,,,
2017PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-07-24 12:50,WATER,DISCRETE SAMPLE,0.5,,6.99,,0.58,,,,,,
2017PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-08-23 12:15,WATER,DISCRETE SAMPLE,0.45,,3.75,,0.34,,,,,,
2017PN330101,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2017-10-12 15:15,WATER,DISCRETE SAMPLE,1,,4.36,,0.31,,,,,,
2018PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-05-29 12:40,WATER,DISCRETE SAMPLE,1,,8.65,,0.46,,,,,,
2018PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-07-24 12:30,WATER,DISCRETE SAMPLE,0.8,,15.4,,1,,,,,,
2018PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-08-20 13:00,WATER,DISCRETE SAMPLE,0.4,,6.46,,0.85,,,,,,
2018PN330061,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-09-17 13:15,WATER,TRIPLICATE SAMPLE,0.5,,9.89,,0.46,,,,,,
2018PN330062,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-09-17 13:20,WATER,TRIPLICATE SAMPLE,0.5,,9.08,,0.46,,,,,,
2018PN330063,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-09-17 13:25,WATER,TRIPLICATE SAMPLE,0.5,,9.76,,0.46,,,,,,
2018PN330077,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2018-10-15 12:40,WATER,DISCRETE SAMPLE,0.7,,4.69,,0.32,,,,,,
2019PN280022,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2020-02-14 13:00,WATER,DISCRETE SAMPLE,0.28,,,,,,,,,,
2019PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2019-05-27 12:35,WATER,DISCRETE SAMPLE,0.4,,,,,,,,,,
2019PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2019-06-26 12:10,WATER,DISCRETE SAMPLE,0.9,,,,,,,,,,
2019PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2019-08-19 13:00,WATER,TRIPLICATE SAMPLE,0.9,,,,,,,,,,
2019PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2019-08-19 13:05,WATER,TRIPLICATE SAMPLE,0.9,,,,,,,,,,
2019PN330060,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2019-08-19 13:10,WATER,TRIPLICATE SAMPLE,0.9,,,,,,,,,,
2021PN280014,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2022-03-13 14:15,WATER,DISCRETE SAMPLE,0.9,,,,,,1.82,,0.175,,
2021PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2021-08-30 12:55,WATER,DISCRETE SAMPLE,0.2,,,,,,4.66,,0.372,,
2021PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2021-09-25 14:55,WATER,DISCRETE SAMPLE,1,,,,,,5.13,,0.336,,
2021PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2021-10-22 13:55,WATER,DISCRETE SAMPLE,0.6,,,,,,4.84,,0.323,,
2013PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-06-25 16:30,WATER,DISCRETE SAMPLE,1.22,,2.23,,0.47,,,,,,
2013PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-07-27 14:30,WATER,TRIPLICATE SAMPLE,1,,1.58,,0.3,,,,,,
2013PN330060,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-07-27 14:35,WATER,TRIPLICATE SAMPLE,1,,1.4,,0.3,,,,,,
2013PN330061,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-07-27 14:40,WATER,TRIPLICATE SAMPLE,1,,1.47,,0.3,,,,,,
2013PN330082,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-08-24 10:35,WATER,DISCRETE SAMPLE,1.2,,1.29,,0.23,,,,,,
2013PN330116,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-09-14 10:38,WATER,DISCRETE SAMPLE,1,,1.09,,0.2,,,,,,
2013PN330125,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2013-10-05 11:20,WATER,DISCRETE SAMPLE,1.1,,1.33,,0.21,,,,,,
2013PN330153,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-02-27 12:05,WATER,DISCRETE SAMPLE,1,,3.85,,0.08,,,,,,
2014PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-05-28 11:05,WATER,DISCRETE SAMPLE,,,1.19,,0.06,,,,,,
2014PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-06-24 12:59,WATER,DISCRETE SAMPLE,1.3,,1.1,,0.16,,,,,,
2014PN330090,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-07-22 12:38,WATER,DISCRETE SAMPLE,0.9,,1.06,,0.16,,,,,,
2014PN330115,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-08-17 11:20,WATER,DISCRETE SAMPLE,1,,2.54,,0.2,,,,,,
2014PN330145,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-09-15 10:55,WATER,TRIPLICATE SAMPLE,0.9,,1.41,,0.19,,,,,,
2014PN330146,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-09-15 11:00,WATER,TRIPLICATE SAMPLE,0.9,,0.91,,0.16,,,,,,
2014PN330147,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2014-09-15 11:05,WATER,TRIPLICATE SAMPLE,0.9,,1.32,,0.16,,,,,,
2014PN330192,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2015-02-15 12:00,WATER,DISCRETE SAMPLE,1.7,,0.38,,0.07,,,,,,
2015PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2015-06-02 11:45,WATER,DISCRETE SAMPLE,1,,1.12,,0.07,,,,,,
2015PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2015-07-29 11:22,WATER,DISCRETE SAMPLE,0.8,,1.25,,0.29,,,,,,
2015PN330083,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2015-08-25 11:05,WATER,DISCRETE SAMPLE,1,,2.62,,0.33,,,,,,
2015PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2015-09-21 10:40,WATER,DISCRETE SAMPLE,0.7,,1.68,,0.36,,,,,,
2015PN330163,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-02-24 12:15,WATER,DISCRETE SAMPLE,1.5,,0.61,,0.18,,,,,,
2016PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-05-31 11:10,WATER,DISCRETE SAMPLE,1.3,,0.61,,0.08,,,,,,
2016PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-06-25 10:50,WATER,DISCRETE SAMPLE,1,,0.91,,0.16,,,,,,
2016PN330051,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-07-24 11:45,WATER,DISCRETE SAMPLE,0.9,,1.57,,0.31,,,,,,
2016PN330097,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-08-21 13:00,WATER,TRIPLICATE SAMPLE,1.25,,1.86,,0.59,,,,,,
2016PN330098,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-08-21 13:05,WATER,TRIPLICATE SAMPLE,1.25,,2.02,,0.53,,,,,,
2016PN330099,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2016-08-21 13:10,WATER,TRIPLICATE SAMPLE,1.25,,1.84,,0.55,,,,,,
2016PN330167,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2017-02-22 11:35,WATER,DISCRETE SAMPLE,1.91,,0.72,,0.24,,,,,,
2017PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2017-05-29 11:30,WATER,DISCRETE SAMPLE,1.1,,0.73,,0.11,,,,,,
2017PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2017-06-27 11:00,WATER,DISCRETE SAMPLE,1.3,,1.08,,0.19,,,,,,
2017PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2017-07-24 11:45,WATER,DISCRETE SAMPLE,1.2,,1.7,,0.5,,,,,,
2017PN330100,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2017-10-12 16:15,WATER,DISCRETE SAMPLE,0.5,,1.33,,0.14,,,,,,
2017PN330103,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-01-15 13:25,WATER,DISCRETE SAMPLE,2.5,,0.9,,0.28,,,,,,
2017PN330120,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-02-12 13:10,WATER,DISCRETE SAMPLE,2.4,,0.64,,0.25,,,,,,
2017PN330140,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-03-13 13:00,WATER,DISCRETE SAMPLE,1.76,,0.6,,0.22,,,,,,
2018PN280019,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-01-14 12:25,WATER,DISCRETE SAMPLE,2.04,,1.13,,0.33,,,,,,
2018PN280021,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-02-14 14:10,WATER,DISCRETE SAMPLE,2.16,,1.07,,0.35,,,,,,
2018PN280024,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-03-14 14:00,WATER,DISCRETE SAMPLE,1.12,,1.02,,0.36,,,,,,
2018PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-05-29 11:30,WATER,DISCRETE SAMPLE,0.5,,2.3,,0.64,,,,,,
2018PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-07-24 11:30,WATER,DISCRETE SAMPLE,1,,1.9,,0.62,,,,,,
2018PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-08-20 11:50,WATER,DISCRETE SAMPLE,1.1,,2.12,,1.25,,,,,,
2018PN330060,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-09-17 12:05,WATER,DISCRETE SAMPLE,,,1.17,,0.44,,,,,,
2018PN330076,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2018-10-15 11:25,WATER,DISCRETE SAMPLE,0.9,,1.45,,0.46,,,,,,
2019PN280018,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2020-01-15 12:30,WATER,DISCRETE SAMPLE,0.79,,,,,,,,,,
2019PN280020,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2020-02-14 14:10,WATER,DISCRETE SAMPLE,0.19,,,,,,,,,,
2019PN280023,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2020-03-12 13:40,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2019PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-05-27 11:25,WATER,DISCRETE SAMPLE,0.75,,,,,,,,,,
2019PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-06-26 11:10,WATER,DISCRETE SAMPLE,0.8,,,,,,,,,,
2019PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-08-19 11:15,WATER,DISCRETE SAMPLE,1.2,,,,,,,,,,
2019PN330072,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2019-09-16 15:45,WATER,DISCRETE SAMPLE,0.8,,,,,,,,,,
2021PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2021-08-30 11:35,WATER,DISCRETE SAMPLE,0.8,,,,,,1.2,,0.193,,
2021PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2021-09-25 13:25,WATER,DISCRETE SAMPLE,0.8,,,,,,0.69,,0.086,,
2021PN330048,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2021-10-22 12:50,WATER,DISCRETE SAMPLE,1,,,,,,0.74,,0.091,,
2022PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,UPPER BUCKTON CREEK (BU1),AL07KF0007,57.97889139,-111.7722239,2022-05-22 11:49,WATER,DISCRETE SAMPLE,0.8,,,,,,1.67,,0.072,,
2012PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2012-06-25 17:30,WATER,DISCRETE SAMPLE,,,10.5,,0.11,,,,,,
2012PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2012-07-24 13:26,WATER,DISCRETE SAMPLE,,,5.69,,0.04,,,,,,
2012PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2012-08-22 16:00,WATER,DISCRETE SAMPLE,,,4.84,,0.09,,,,,,
2012PN330062,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2012-09-19 14:45,WATER,DISCRETE SAMPLE,,,5.12,L,0.03,,,,,,
2012PN330071,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2012-10-18 10:20,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2013PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-05-29 15:40,WATER,DISCRETE SAMPLE,,,12.7,,0.1,,,,,,
2013PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-07-28 14:10,WATER,DISCRETE SAMPLE,1,,7.24,,0.21,,,,,,
2013PN330081,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-08-23 14:15,WATER,DISCRETE SAMPLE,1.1,,4.18,,0.04,,,,,,
2013PN330106,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-09-15 15:18,WATER,TRIPLICATE SAMPLE,1,,3.88,,0.04,,,,,,
2013PN330107,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-09-15 15:23,WATER,TRIPLICATE SAMPLE,1,,2.75,,0.05,,,,,,
2013PN330108,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-09-15 15:28,WATER,TRIPLICATE SAMPLE,1,,2.78,,0.05,,,,,,
2013PN330137,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2013-10-06 15:10,WATER,DISCRETE SAMPLE,0.8,,10.7,,0.08,,,,,,
2014PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-05-28 14:15,WATER,DISCRETE SAMPLE,1,,8.07,,0.08,,,,,,
2014PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-06-27 14:13,WATER,DISCRETE SAMPLE,1.1,,4.81,,0.06,,,,,,
2014PN330114,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-07-25 13:12,WATER,DISCRETE SAMPLE,0.9,,3.67,,0.05,,,,,,
2014PN330139,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-08-20 14:15,WATER,DISCRETE SAMPLE,1,,1.71,L,0.03,,,,,,
2014PN330141,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-09-14 14:21,WATER,DISCRETE SAMPLE,0.9,,1.89,L,0.03,,,,,,
2014PN330160,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-10-12 12:58,WATER,TRIPLICATE SAMPLE,0.9,,5.07,L,0.03,,,,,,
2014PN330161,WOOD BUFFALO NATIONAL PARK MONITORING,RIVIERE DES ROCHER BELOW LITTLE RAPIDS (M10),AL07NA0001,58.92216694,-111.18311,2014-10-12 13:03,WATER,TRIPLICATE SAMPLE,0.9,,4.19,L,0.03,,,,,,
