2019PN880058,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-09-10 11:40,WATER,VERTICAL INTEGRATED,2.5,,139.015,,2.976,,0.959,,20.451,,139.451,,0,,0.327,,0.3,,11.301,,7.716,,165.504,,,,,,NA,,2.48,,119,,,,1.81,,0.09,,,,8.37,,,,,,,,28.6,,38.7,,10.4,,1.18,,5.03,,8.25,,,,284,,21.5,,10.07,,8.04,,284,,14.07,,22.6,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880059,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-09-10 11:25,WATER,VERTICAL INTEGRATED,3.3,,92.644,,0,,1.127,,7.893,,83.893,,0,,-0.393,,0.54,,22.427,,8.897,,115.241,,,,,,NA,,NA,,76,,,,8.91,,0.08,,,,8.11,,,,,,,,11.3,,22.6,,6.67,,0.93,,7.74,,11.3,,,,201,,31.2,,9.94,,7.7,,200,,12.59,,36.2,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880060,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-09-10 11:05,WATER,VERTICAL INTEGRATED,3.3,,79.113,,0,,1.187,,3.101,,68.001,,0,,-0.656,,0.64,,27.609,,9.331,,101.741,,,,,,NA,,NA,,64.9,,,,11.4,,0.08,,,,8.02,,,,,,,,6.07,,18,,5.6,,0.83,,8.57,,12.1,,,,180,,32.7,,9.89,,7.66,,178,,12.29,,38,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880061,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-09-11 12:05,WATER,VERTICAL INTEGRATED,3.9,,126.776,,0,,1.111,,13.413,,117.413,,0,,0.047,,0.4,,15.617,,8.156,,145.224,,,,,,NA,,NA,,104,,,,3.24,,0.1,,,,8.25,,,,,,,,21.6,,32.1,,9.05,,1.08,,5.51,,10.1,,,,255,,22.6,,9.9,,7.84,,254,,13.26,,27.3,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880062,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-09-11 11:30,WATER,VERTICAL INTEGRATED,4.8,,119.706,,0,,1.126,,13.823,,112.023,,0,,-0.025,,0.42,,16.512,,8.27,,141.094,,,,,,NA,,NA,,98.2,,,,5.84,,0.09,,,,8.22,,,,,,,,19.1,,30.7,,8.59,,1.05,,6.46,,10.3,,,,245,,25,,9.86,,8.15,,246,,13.28,,27.1,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880063,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-10-08 15:10,WATER,VERTICAL INTEGRATED,2.6,,154.813,,0,,1.39,,18.417,,145.417,,0,,-0.031,,0.32,,11.687,,8.303,,173.344,,,,,,NA,,NA,,127,,,,2.07,,0.09,,,,8.24,,,,,,,,28,,40.1,,11,,1.28,,5.62,,8.94,,,,296,,11.9,,12.17,,8.06,,294,,5.91,,11.8,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880064,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-10-09 12:15,WATER,VERTICAL INTEGRATED,3.4,,138.966,,0,,1.277,,14.406,,128.406,,0,,-0.195,,0.44,,15.92,,8.619,,160.464,,,,,,NA,,NA,,114,,,,5.48,,0.09,,,,8.23,,,,,,,,22.8,,35.2,,9.84,,1.18,,6.13,,11.3,,,,281,,13.2,,11.99,,8.38,,275,,4.39,,16.1,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880065,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-10-09 12:00,WATER,VERTICAL INTEGRATED,4.3,,136.528,,0,,1.255,,14.416,,126.416,,0,,-0.207,,0.44,,16.244,,8.645,,160.434,,,,,,NA,,NA,,112,,,,6.74,,0.09,,,,8.23,,,,,,,,23.1,,34.7,,9.66,,1.2,,6.3,,11.4,,,,284,,13.2,,11.98,,8.42,,278,,4.42,,13.8,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880066,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-10-08 13:10,WATER,VERTICAL INTEGRATED,1.1,,159.689,,0,,1.65,,14.417,,145.417,,0,,-0.119,,0.41,,14.312,,8.417,,182.048,,,,,,NA,,NA,,131,,,,4.35,,0.09,,,,8.18,,,,,,,,28.8,,40.1,,11,,1.45,,5.8,,11.3,,,,311,,12.4,,11.58,,8.3,,310,,4.81,,17.4,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880067,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-10-08 13:20,WATER,VERTICAL INTEGRATED,2.1,,154.813,,0,,1.456,,14.023,,141.023,,0,,-0.074,,0.33,,12.164,,8.368,,171.944,,,,,,NA,,NA,,127,,,,2.05,,0.09,,,,8.22,,,,,,,,27.8,,39,,10.6,,1.33,,5.75,,9.08,,,,297,,12.2,,11.7,,8.27,,293,,5.6,,11.1,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880068,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-10-08 10:50,WATER,VERTICAL INTEGRATED,2.6,,88.621,,0,,1.53,,20.235,,92.935,,0,,-0.782,,0.66,,25.207,,9.524,,126.716,,,,,,NA,,NA,,72.7,,,,12.8,,0.09,,,,7.96,,,,,,,,14.5,,25.1,,7.35,,1.07,,7.52,,14.6,,,,215,,15.2,,11.61,,7.99,,215,,4.83,,16.9,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880069,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:30,WATER,TRIPLICATE SAMPLE,2.7,,105.078,,0,,1.471,,0,,73.476,,0,,-0.72,,0.86,,33.023,,9.491,,129.653,,,,,,NA,,NA,,86.2,,,,17.2,,0.09,,,,8.05,,,,,,,,9.04,,19.5,,6.02,,0.89,,8.24,,16.9,,,,238,,13.8,,11.67,,8.1,,237,,5.05,,15.4,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880070,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:35,WATER,TRIPLICATE SAMPLE,2.7,,107.028,,0,,1.498,,2.314,,90.114,,0,,PM,,0.68,,26.058,,PM,,134.483,,,,,,NA,,NA,,87.8,,,,13.1,,0.09,,,,8.05,,,,,,,,13.7,,24.3,,7.15,,1.02,,7.59,,14.8,,,,239,,13.7,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880071,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:40,WATER,TRIPLICATE SAMPLE,2.7,,106.906,,0,,1.497,,5.526,,93.226,,0,,PM,,0.66,,25.156,,PM,,135.674,,,,,,NA,,NA,,87.7,,,,12.6,,0.09,,,,8.05,,,,,,,,14.6,,25.2,,7.36,,1.04,,7.52,,14.6,,,,237,,13.6,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880076,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-01-12 14:45,WATER,VERTICAL INTEGRATED,1.95,,213.325,,0,,2.007,,17.301,,192.301,,0,,-0.025,,0.51,,15.469,,8.27,,243.715,,,,,,NA,,NA,,175,,,,4.04,,0.11,,,,8.22,,,,,,,,39.1,,53.6,,14.2,,2.18,,8.42,,16.4,,,,410,,8.6,,13.01,,7.77,,407,,-0.3,,2.1,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-01-13 12:10,WATER,VERTICAL INTEGRATED,0.45,,214.544,,0,,2.067,,16.051,,192.051,,0,,-0.035,,0.57,,16.883,,8.28,,249.767,,,,,,NA,,NA,,176,,,,6.89,,0.11,,,,8.21,,,,,,,,38.9,,53.5,,14.2,,2.34,,8.37,,18.2,,,,419,,10.8,,12.75,,7.78,,422,,-0.3,,2.3,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-01-13 12:35,WATER,VERTICAL INTEGRATED,2.62,,140.185,,0,,2.595,,5.025,,120.025,,0,,-0.699,,0.83,,27.277,,9.328,,183.952,,,,,,NA,,NA,,115,,,,19.3,,0.1,,,,7.93,,,,,,,,20.1,,32.8,,9.26,,1.45,,10.3,,21,,,,319,,23.6,,12.79,,7.5,,322,,-0.3,,3.4,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-01-13 12:55,WATER,VERTICAL INTEGRATED,2.51,,112.879,,0,,2.636,,3.526,,96.126,,0,,-0.99,,1.02,,33.977,,9.81,,164.668,,,,,,NA,,NA,,92.6,,,,25.8,,0.09,,,,7.83,,,,,,,,13.6,,25.9,,7.64,,1.24,,11.1,,23.1,,,,289,,3.58,,12.55,,7.31,,290,,-0.3,,2.9,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880080,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-01-14 12:10,WATER,VERTICAL INTEGRATED,2.9,,190.164,,0,,2.108,,11.573,,167.573,,0,,-0.203,,0.62,,19.058,,8.557,,225.257,,,,,,NA,,NA,,156,,,,9.68,,0.1,,,,8.15,,,,,,,,32.2,,46.5,,12.5,,1.99,,9.49,,18.4,,,,382,,4.64,,12.5,,7.7,,384,,-0.3,,3.2,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880081,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-01-14 12:30,WATER,VERTICAL INTEGRATED,1.77,,177.974,,0,,2.218,,11.2,,157.2,,0,,-0.309,,0.65,,20.411,,8.718,,216.388,,,,,,NA,,NA,,146,,,,12.2,,0.1,,,,8.1,,,,,,,,30.1,,43.5,,11.8,,1.86,,9.71,,18.8,,,,370,,3.9,,12.7,,7.64,,372,,-0.3,,3,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880082,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-02-11 15:10,WATER,VERTICAL INTEGRATED,1.26,,218.201,,0,,1.959,,12.477,,191.477,,0,,0.003,,0.57,,16.785,,8.234,,249.989,,,,,,NA,,NA,,179,,,,4.45,,0.11,,,,8.24,,,,,,,,41.5,,53.6,,14,,2.17,,7.82,,18,,,,418,,6.2,,12.71,,7.6,,419,,-0.3,,0,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880083,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-02-11 10:55,WATER,VERTICAL INTEGRATED,0.13,,220.639,,0,,2.076,,13.298,,194.298,,0,,-0.007,,0.64,,18.581,,8.234,,260.667,,,,,,NA,,NA,,181,,,,8.95,,0.11,,,,8.22,,,,,,,,41.5,,54.4,,14.2,,2.46,,7.82,,20.7,,,,437,,2.95,,11.88,,7.48,,440,,-0.3,,0,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880084,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-02-11 11:30,WATER,VERTICAL INTEGRATED,2.13,,146.28,,0,,2.001,,4.923,,124.923,,0,,-0.533,,0.91,,28.642,,9.126,,195.649,,,,,,NA,,NA,,120,,,,21.4,,0.1,,,,8.06,,,,,,,,22.5,,34.3,,9.54,,1.55,,10,,23.4,,,,341,,3.48,,12.66,,7.18,,340,,-0.3,,0,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880085,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-02-11 11:15,WATER,VERTICAL INTEGRATED,2.18,,107.15,,0,,2.127,,1.423,,89.323,,0,,-0.977,,1.23,,39.006,,9.854,,167.41,,,,,,NA,,NA,,87.9,,,,31.1,,0.09,,,,7.9,,,,,,,,12.4,,24,,7.14,,1.22,,11.2,,26.7,,,,298,,3.94,,12.32,,7.19,,293,,-0.3,,0,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880086,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-02-12 12:45,WATER,VERTICAL INTEGRATED,1.7,,179.193,,0,,1.852,,9.701,,156.701,,0,,-0.229,,0.72,,22.158,,8.638,,222.605,,,,,,NA,,NA,,147,,,,14.5,,0.11,,,,8.18,,,,,,,,31.8,,43.3,,11.8,,1.85,,9.31,,20.8,,,,384,,3.11,,12.45,,7.4,,379,,-0.3,,0,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880087,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:00,WATER,TRIPLICATE SAMPLE,2.61,,191.383,,0,,1.932,,10.735,,167.735,,0,,-0.162,,0.68,,20.686,,8.515,,231.241,,,,,,NA,,NA,,157,,,,11.6,,0.11,,,,8.19,,,,,,,,34,,46.4,,12.6,,1.98,,8.91,,20.4,,,,392,,3.32,,12.49,,7.48,,394,,-0.3,,0,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880088,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:05,WATER,TRIPLICATE SAMPLE,2.61,,191.383,,0,,1.887,,10.074,,167.074,,0,,PM,,0.68,,20.752,,PM,,230.838,,,,,,NA,,NA,,157,,,,11.6,,0.11,,,,8.2,,,,,,,,33.9,,46.3,,12.5,,1.96,,8.84,,20.4,,,,393,,3.04,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880089,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:10,WATER,TRIPLICATE SAMPLE,2.61,,191.383,,0,,1.932,,9.824,,166.824,,0,,PM,,0.68,,20.69,,PM,,230.802,,,,,,NA,,NA,,157,,,,11.6,,0.1,,,,8.19,,,,,,,,33.9,,46.2,,12.5,,2.01,,8.96,,20.3,,,,393,,2.95,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880094,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-03-10 15:15,WATER,VERTICAL INTEGRATED,1.25,,206.011,,0,,3.558,,13.427,,182.427,,0,,-0.324,,0.6,,17.865,,8.607,,243.067,,,,,,NA,,NA,,169,,,,5,,0.11,,,,7.96,,,,,,,,43.4,,50.8,,13.5,,2.13,,7.35,,18.5,,,,410,,5.17,,12.58,,7.8,,410,,-0.3,,1.5,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880095,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-03-10 10:55,WATER,VERTICAL INTEGRATED,0.05,,208.449,,0,,3.951,,13.836,,184.836,,0,,-0.354,,0.66,,19.27,,8.627,,252.259,,,,,,NA,,NA,,171,,,,8.59,,0.1,,,,7.92,,,,,,,,43.5,,51.6,,13.6,,2.37,,7.39,,20.6,,,,426,,2.49,,11.98,,7.64,,429,,-0.3,,1.7,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880096,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-03-10 11:35,WATER,VERTICAL INTEGRATED,2.13,,138.966,,0,,4.093,,3.786,,117.786,,0,,-0.912,,0.97,,30.467,,9.554,,191.677,,,,,,NA,,NA,,114,,,,22.4,,0.1,,,,7.73,,,,,,,,23,,32.2,,9.08,,1.52,,10,,24.1,,,,334,,3.58,,12.86,,7.45,,336,,-0.3,,3.3,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880097,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-03-10 11:20,WATER,VERTICAL INTEGRATED,1.87,,101.543,,0,,4.432,,0,,83.264,,0,,-1.374,,1.31,,41.488,,10.307,,164.939,,,,,,NA,,NA,,83.3,,,,32.6,,0.09,,,,7.56,,,,,,,,12.2,,22.2,,6.76,,1.15,,11.5,,27.6,,,,293,,4.31,,12.68,,7.35,,295,,-0.3,,4.1,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880098,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-03-11 11:30,WATER,VERTICAL INTEGRATED,2.2,,182.85,,0,,3.386,,8.199,,158.199,,0,,0.155,,0.73,,22.152,,7.62,,225.655,,,,,,NA,,NA,,150,,,,11.8,,0.1,,,,7.93,,,,,,,,35.7,,43.9,,11.8,,1.92,,8.39,,21,,,,386,,2.86,,12.14,,7.65,,385,,-0.3,,2.2,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880099,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-03-11 11:50,WATER,VERTICAL INTEGRATED,1.8,,168.222,,0,,3.418,,8.915,,146.915,,0,,-0.573,,0.79,,24.382,,9.035,,216.894,,,,,,NA,,NA,,138,,,,15.7,,0.1,,,,7.89,,,,,,,,32.8,,40.7,,11,,1.79,,8.96,,22.1,,,,374,,2.92,,12.42,,7.59,,374,,-0.3,,2.6,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN880001,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-09-23 9:55,WATER,VERTICAL INTEGRATED,3.9,,138.966,,0,,1.436,,17.973,,131.973,,0,,0.029,,0.34,,12.591,,8.121,,160.48,,39.5,,9.31,,NA,,NA,,114,,,,2.03,,0.09,,,,8.18,,,,,,,,29.6,,36.2,,10.1,,1.38,,3.92,,8.85,,,,279,,,,10.53,,8.34,,280,,12.13,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-09-23 11:00,WATER,VERTICAL INTEGRATED,2.3,,141.404,,0,,1.461,,18.045,,134.045,,0,,0.042,,0.36,,13.459,,8.096,,164.91,,43.9,,11.4,,NA,,NA,,116,,,,2.89,,0.1,,,,8.18,,,,,,,,29.7,,36.7,,10.3,,1.46,,4.55,,9.71,,,,287,,,,10.41,,8.25,,288,,12.16,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
